afck-00089	“Despite record low oil prices, this administration was able to invest an additional US$500 million into the [Sovereign Wealth] Fund.”	correct	https://africacheck.org/reports/hit-or-miss-taking-stock-of-5-claims-in-buharis-2018-budget-speech/	None	None	None	None	None	Hit or miss? Taking stock of 5 claims in Buhari’s 2018 budget speech	2017-11-29 11:15	None	['None']
afck-00279	“Pneumonia incidence decreased from 89 per 1 000 of the under-five population in 2012-2013 to 84.7 in 2013-2014.”	mostly-correct	https://africacheck.org/reports/crisis-what-crisis-africa-check-tests-free-state-health-claims/	None	None	None	None	None	Crisis? What crisis? Africa Check tests Free State health claims	2015-06-12 05:45	None	['None']
afck-00087	“Handwashing can reduce the risk of communicable diseases by up to 59%.”	exaggerated	https://africacheck.org/reports/handwashing-101-dettols-disease-busting-claims-microscope/	None	None	None	None	None	Handwashing 101: Dettol’s disease-busting claims under the microscope	2017-12-11 06:20	None	['None']
afck-00039	“Rice importation from other countries has been cut down by 90%”	correct	https://africacheck.org/reports/buharis-2018-democracy-day-speech-7-main-claims-under-scrutiny/	None	None	None	None	None	Buhari’s 2018 Democracy Day speech: 7 main claims under scrutiny	2018-05-29 01:51	None	['None']
afck-00179	“Our tourist arrival numbers for the period January to November 2016 increased to 9 million, an increase of just over 1 million arrivals from 2015. This represents a 13% growth in tourism arrivals.”	correct	https://africacheck.org/reports/facts-alternative-facts-zumas-10th-state-nation-address-checked/	None	None	None	None	None	Facts or alternative facts? Zuma’s 10th State of the Nation Address checked	2017-02-10 07:12	None	['None']
afck-00026	“The number of Eskom employees increased from 32,000 in 2003 to 47,600 in 2017.”	correct	https://africacheck.org/reports/eskom-and-the-viral-infographic-do-the-numbers-add-up/	None	None	None	None	None	Eskom and the viral infographic: do the numbers add up?	2018-07-09 07:54	None	['None']
afck-00021	“One public doctor treats “over 4,000 patients” in South Africa.”	incorrect	https://africacheck.org/reports/does-one-sa-doctor-treat-over-4000-patients-in-public-care-but-less-than-300-privately/	None	None	None	None	None	Does one SA doctor treat 4,000 patients in public care, but fewer than 300 privately?	2018-08-07 11:47	None	['South_Africa']
afck-00374	“Under the ANC, not one department featured in the top three.”	incorrect	https://africacheck.org/reports/is-the-das-western-cape-story-a-good-story-to-tell-we-examine-the-claims/	None	None	None	None	None	Is the DA’s Western Cape Story a ‘good story to tell’? We examine the claims	2014-03-28 05:02	None	['None']
afck-00246	“We are proud of our Top 10 ranking in the World Economic Forum competitiveness report with respect to financial services.”	mostly-correct	https://africacheck.org/reports/did-zuma-get-his-sona2016-facts-straight/	None	None	None	None	None	Did Zuma get his #SoNA2016 facts straight?	2016-02-11 07:51	None	['World_Economic_Forum']
afck-00139	“We have connected a record 6 million Kenyans to electricity.”	misleading	https://africacheck.org/reports/fact-checking-kenyas-deputy-president-maize-imports-debt-electricity-police/	None	None	None	None	None	Fact-checking Kenya’s deputy president on maize imports, debt, electricity & police	2017-05-21 02:49	None	['None']
afck-00276	“[The] department and the Free State have not been getting the right kinds of allocations as per the national formula of the equitable share.”	incorrect	https://africacheck.org/reports/crisis-what-crisis-africa-check-tests-free-state-health-claims/	None	None	None	None	None	Crisis? What crisis? Africa Check tests Free State health claims	2015-06-12 05:45	None	['None']
afck-00322	“[O]nly 204,522 new entrant opportunities at universities were available this year. This is despite the fact that of the 532,860 grade 12 pupils who wrote matric in 2014, only 403,874 pupils passed with marks that allow them to study in tertiary universities either for a degree, diploma or a higher certificate.”	misleading	https://africacheck.org/reports/julius-malemas-sona-2015-debate-speech-fact-checked/	None	None	None	None	None	Julius Malema’s SONA 2015 debate speech fact-checked	2015-02-25 01:19	None	['None']
afck-00411	“[W]e have doubled the number of people who are receiving anti-retroviral treatment, from one million to 2.4 million people in 2013.”	misleading	https://africacheck.org/reports/a-first-look-at-president-jacob-zumas-2014-state-of-the-nation-address/	None	None	None	None	None	President Jacob Zuma’s sixth State of the Nation address fact-checked	2014-02-14 12:39	None	['None']
afck-00128	“We have given priority to clean energy, (geothermal, wind power, solar and hydro), which now accounts for over 75% of the installed capacity compared to the world average of only 24%.”	incorrect	https://africacheck.org/reports/jubilee-party-manifesto-4-claims-fact-checked/	None	None	None	None	None	The Jubilee Party manifesto: 5 claims fact-checked	2017-07-02 02:02	None	['None']
afck-00182	“Within the National Prosecuting Authority, the Asset Forfeiture Unit completed 389 forfeiture cases to the value of R349 million.”	correct	https://africacheck.org/reports/facts-alternative-facts-zumas-10th-state-nation-address-checked/	None	None	None	None	None	Facts or alternative facts? Zuma’s 10th State of the Nation Address checked	2017-02-10 07:12	None	['None']
afck-00361	“South Africa was the first African country to legalise same-sex marriages back in 2006. It was the fifth country in the world to take this bold step.”	correct	https://africacheck.org/reports/has-the-anc-moved-south-africa-forward-we-examine-key-election-claims/	None	None	None	None	None	Has the ANC moved South Africa forward? We examine key claims	2014-04-30 10:32	None	['Africa', 'South_Africa']
afck-00337	“In housing, about 3 million housing units and more than 855,000 serviced sites were delivered since 1994 [up to December 2013].”	correct	https://africacheck.org/reports/2014-sona-claims-revisited-zuma-on-service-delivery/	None	None	None	None	None	2014 SONA claims revisited: Zuma on service delivery	2015-02-12 08:38	None	['None']
afck-00212	“Midvaal [has] the lowest unemployment rate in Gauteng.”	correct	https://africacheck.org/reports/does-the-da-create-change-that-moves-sa-forward-we-weigh-up-key-claims/	None	None	None	None	None	Does the DA create ‘change that moves SA forward’? We weigh up key claims	2016-06-02 06:07	None	['None']
afck-00052	Average water consumption in South Africa is 235 litres per capita per day.	mostly-correct	https://africacheck.org/reports/south-africans-guzzle-235-litres-water-per-day/	None	None	None	None	None	Does South Africa guzzle 235 litres of water per person daily?	2018-04-11 09:52	None	['South_Africa']
afck-00071	“The matric pass rate increased from 60.6 percent in 2009 to 75.1 percent last year.”	correct	https://africacheck.org/reports/state-of-the-nation-address-1-president-cyril-ramaphosas-claims-weighed-up/	None	None	None	None	None	Fact-checked: Pres Cyril Ramaphosa’s first-ever State of the Nation Address	2018-02-16 06:36	None	['None']
afck-00173	“White households earn at least 5 times more than black households, according to Statistics South Africa.”	mostly-correct	https://africacheck.org/reports/facts-alternative-facts-zumas-10th-state-nation-address-checked/	None	None	None	None	None	Facts or alternative facts? Zuma’s 10th State of the Nation Address checked	2017-02-10 07:12	None	['None']
afck-00178	“There has also been a 19% decline in households involved in agriculture from 2.9 million in 2011 to 2.3 million households in 2016.”	correct	https://africacheck.org/reports/facts-alternative-facts-zumas-10th-state-nation-address-checked/	None	None	None	None	None	Facts or alternative facts? Zuma’s 10th State of the Nation Address checked	2017-02-10 07:12	None	['None']
afck-00058	“Last year, we increased the number of tourists by 12.8%”	mostly-correct	https://africacheck.org/reports/verifying-key-claims-in-the-2018-state-of-the-nation-debate/	None	None	None	None	None	Verifying key claims in SA’s 2018 State of the Nation address debate	2018-02-19 02:56	None	['None']
afck-00011	“Today the Kenya Revenue Authority is collecting over KSh1.3 trillion.”	correct	https://africacheck.org/reports/tax-revenue-and-development-spend-does-kenyas-majority-leader-get-his-numbers-right/	None	None	None	None	None	Tax revenue & development spend: does Kenya’s majority leader get his numbers right?	2018-09-14 08:30	None	['None']
afck-00172	“Of the [more than 2 million] work opportunities created, more than 1 million have been taken up by the youth.”	correct	https://africacheck.org/reports/facts-alternative-facts-zumas-10th-state-nation-address-checked/	None	None	None	None	None	Facts or alternative facts? Zuma’s 10th State of the Nation Address checked	2017-02-10 07:12	None	['None']
afck-00033	“Over the last 6 years, the forest cover has increased from 6.99% to 7.3%.”	unproven	https://africacheck.org/reports/hit-or-miss-5-claims-by-kenyan-governors-fact-checked/	None	None	None	None	None	Hit or miss? 5 claims by Kenyan governors fact-checked	2018-07-04 01:06	None	['None']
afck-00075	“Poverty levels rose in 2015″	correct	https://africacheck.org/reports/state-of-the-nation-address-1-president-cyril-ramaphosas-claims-weighed-up/	None	None	None	None	None	Fact-checked: Pres Cyril Ramaphosa’s first-ever State of the Nation Address	2018-02-16 06:36	None	['None']
afck-00123	“Our average maize yield has stagnated at 8.5 bags per acre, against a potential of 30 bags per acre, this reflects the very low yields among smallholders who produce 80% of our maize.”	mostly-correct	https://africacheck.org/reports/checked-5-claims-kenya-nasa-opposition-manifesto/	None	None	None	None	None	Fact-checked: 5 claims in Kenya Nasa opposition manifesto	2017-07-07 06:32	None	['None']
afck-00047	“When I assumed office as President, we promised to tarmac 10,000 kms roads across the country; we are on target having completed 3,000 kms to-date and with a further 5,000 kms under construction.”	unproven	https://africacheck.org/reports/uhuru-kenyattas-2018-state-of-the-nation-address-fact-checked/	None	None	None	None	None	Uhuru Kenyatta’s 2018 State of The Nation Address fact-checked	2018-05-02 06:20	None	['None']
afck-00305	“In 2014, more than 62% of South Africans made their democratic choice to choose a political party of their choice.”	incorrect	https://africacheck.org/reports/has-president-jacob-zumas-government-done-a-good-job/	None	None	None	None	None	Has President Jacob Zuma’s government done ‘a good job’?	2015-03-23 07:37	None	['None']
afck-00149	“Today, more than 2,282 MW of power is available on the national grid compared to the 1,664 MW available 3 years ago.”	incorrect	https://africacheck.org/reports/kenyas-budget-speech-claims-power-investment-roads-add/	None	None	None	None	None	Kenya’s budget speech: Do claims about power, investment & roads add up?	2017-04-07 02:26	None	['None']
afck-00353	Mmamoloko Kubayi, African National Congress member of parliament: “The success of the youth incentive scheme in a short period of time…has been nothing short of remarkable and it has created more than 133,000 job opportunities for our youth.”	unproven	https://africacheck.org/reports/sona-unemployment-claims-unpacked/	None	None	None	None	None	SONA unemployment claims unpacked	2014-06-26 06:16	None	['None']
afck-00007	“ Artisanal and small-scale miners are responsible for 90% of Nigeria’s mineral production”	incorrect	https://africacheck.org/reports/digging-up-the-numbers-on-informal-mining-in-nigeria/	None	None	None	None	None	Digging up the numbers on informal mining in Nigeria	2018-10-03 11:09	None	['None']
afck-00143	3.5 million people get HIV treatment	understated	https://africacheck.org/reports/president-zumas-track-record-7-claims-progress-fact-checked/	None	None	None	None	None	President Zuma’s track record: 7 claims about #progress fact-checked	2017-04-21 06:20	None	['None']
afck-00366	“In 2013, more than 16-million South Africans receive social grants.”	misleading	https://africacheck.org/reports/does-the-anc-have-a-good-story-to-tell-we-examine-key-election-claims/	None	None	None	None	None	Does the ANC have a ‘good story to tell’? We examine key election claims	2014-04-25 05:00	None	['None']
afck-00241	“More than 26 million” people in South Africa live in absolute poverty.	correct	https://africacheck.org/reports/fact-checking-the-sona2016-debates/	None	None	None	None	None	Fact-checking the #SoNA2016 debates	2016-02-16 02:07	None	['South_Africa']
afck-00407	“The overall crime rate has decreased by 21 percent since 2002…”	misleading	https://africacheck.org/reports/a-first-look-at-president-jacob-zumas-2014-state-of-the-nation-address/	None	None	None	None	None	President Jacob Zuma’s sixth State of the Nation address fact-checked	2014-02-14 12:39	None	['None']
afck-00098	“Yorubas have the world’s highest twin birth rate.”	unproven	https://africacheck.org/reports/does-nigerias-yoruba-tribe-have-the-worlds-highest-twin-birth-rate-and-are-yams-to-blame/	None	None	None	None	None	Do Nigeria’s Yoruba people have the world’s highest twin birth rate? (And are yams to blame?)	2017-10-05 08:24	None	['None']
afck-00404	“When 95% of households have access to water, the 5% who still need to be provided for, feel they cannot wait a moment longer. Success is also the breeding ground of rising expectations.”	unproven	https://africacheck.org/reports/a-first-look-at-president-jacob-zumas-2014-state-of-the-nation-address/	None	None	None	None	None	President Jacob Zuma’s sixth State of the Nation address fact-checked	2014-02-14 12:39	None	['None']
afck-00300	“For every 25 men brought to trial for rape, 24 will walk free…”	unproven	https://africacheck.org/reports/british-paper-mangles-sa-rape-statistics/	None	None	None	None	None	British paper mangles SA rape statistics	2015-05-28 03:00	None	['None']
afck-00318	“Despite all his past promises, what President Zuma failed to tell us last week was that, today, there are 1.6-million more South Africans without jobs than when he took office in 2009.”	incorrect	https://africacheck.org/reports/mmusi-maimane-sona-2015-response-fact-checked/	None	None	None	None	None	Mmusi Maimane’s SONA 2015 response fact-checked	2015-02-25 01:20	None	['None']
afck-00025	“Nigeria has over 10 million out-of-school children, the highest number in the world.”	incorrect	https://africacheck.org/reports/crisis-in-nigerian-schooling-grading-three-claims-by-presidential-hopeful/	None	None	None	None	None	Crisis in Nigerian schooling? Grading three claims by presidential hopeful	2018-07-31 09:43	None	['Nigeria']
afck-00254	“Between 1996 and 2011 total black disposable income grew 370% from R161 million to R756 million.”	unproven	https://africacheck.org/reports/more-claims-of-south-africas-spectacular-transformation-fact-checked/	None	None	None	None	None	More claims of S. Africa’s ‘spectacular transformation’ fact-checked	2015-11-19 11:28	None	['None']
afck-00375	“The Western Cape was ranked as the best run province in South Africa in 2013.”	correct	https://africacheck.org/reports/is-the-das-western-cape-story-a-good-story-to-tell-we-examine-the-claims/	None	None	None	None	None	Is the DA’s Western Cape Story a ‘good story to tell’? We examine the claims	2014-03-28 05:02	None	['South_Africa']
afck-00278	“[In 2014-2015] coverage for the rotavirus vaccine exceeded the 95% target and the pneumococcal vaccine reached 91.5%.”	misleading	https://africacheck.org/reports/crisis-what-crisis-africa-check-tests-free-state-health-claims/	None	None	None	None	None	Crisis? What crisis? Africa Check tests Free State health claims	2015-06-12 05:45	None	['None']
afck-00327	“Our investment in youth employment is also paying off. The Employment Tax Incentive [ETI] which was introduced last year directed mainly at the youth, is progressing very well. R2-billion has been claimed to date by some 29,000 employers, who have claimed for at least 270,000 young people.”	unproven	https://africacheck.org/reports/sona-2015-more-key-claims-fact-checked/	None	None	None	None	None	SONA 2015: More key claims fact-checked	2015-02-17 09:03	None	['None']
afck-00424	South Africa now has ten times more people in squatter camps than in 1994.	incorrect	https://africacheck.org/reports/is-sa-worse-off-now-than-19-years-ago-the-facts-behind-that-facebook-post/	None	None	None	None	None	Is SA worse off now than 19 years ago? The facts behind THAT Facebook post	2013-11-28 05:16	None	['None']
afck-00231	“Most importantly, the EPWP has surpassed its target of 55% and 40% for women and youth respectively, with 60% of participants being women and 50% being youth.”	correct	https://africacheck.org/reports/is-the-anc-advancing-peoples-power-we-fact-check-key-election-claims/	None	None	None	None	None	Is the ANC ‘advancing people’s power’? We fact-check key election claims	2016-05-19 06:39	None	['None']
afck-00352	Mmusi Maimane: “In the Western Cape, the unemployed population has shrunk by 48,000.”	correct	https://africacheck.org/reports/sona-unemployment-claims-unpacked/	None	None	None	None	None	SONA unemployment claims unpacked	2014-06-26 06:16	None	['None']
afck-00255	“Between 1996 and 2011… personal income grew 300%.”	unproven	https://africacheck.org/reports/more-claims-of-south-africas-spectacular-transformation-fact-checked/	None	None	None	None	None	More claims of S. Africa’s ‘spectacular transformation’ fact-checked	2015-11-19 11:28	None	['None']
afck-00331	“The construction of the three new power stations Kusile, Medupi and Ingula, will add 10,000 MW of capacity to the national grid.”	misleading	https://africacheck.org/reports/sona-2015-key-claims-fact-checked-part-1/	None	None	None	None	None	SONA 2015: Key claims fact-checked	2015-02-13 03:07	None	['None']
afck-00299	“Of the estimated 500,000 rapes that take place every year, only one in nine are reported.”	unproven	https://africacheck.org/reports/british-paper-mangles-sa-rape-statistics/	None	None	None	None	None	British paper mangles SA rape statistics	2015-05-28 03:00	None	['None']
afck-00434	“We should also remain mindful of rapid urbanisation that is taking place. The Census Statistics reveal that 63% of the population are living in urban areas. This is likely to increase to over 70% by 2030.”	correct	https://africacheck.org/reports/the-state-of-the-nation-address-fact-checked/	None	None	None	None	None	The State of the Nation Address: fact-checked	2013-02-15 12:06	None	['None']
afck-00215	“In the 2014/15 financial year, the City of Cape Town spent 67% of its budget in poor communities.”	incorrect	https://africacheck.org/reports/does-the-da-create-change-that-moves-sa-forward-we-weigh-up-key-claims/	None	None	None	None	None	Does the DA create ‘change that moves SA forward’? We weigh up key claims	2016-06-02 06:07	None	['None']
afck-00313	“South Africans now live nine years longer than they did in 2005 due to the roll-out by this government of drugs that prolong life.”	correct	https://africacheck.org/reports/has-president-jacob-zumas-government-done-a-good-job/	None	None	None	None	None	Has President Jacob Zuma’s government done ‘a good job’?	2015-03-23 07:37	None	['None']
afck-00303	“Sex education is non-existent”	incorrect	https://africacheck.org/reports/british-paper-mangles-sa-rape-statistics/	None	None	None	None	None	British paper mangles SA rape statistics	2015-05-28 03:00	None	['None']
afck-00085	“In his first year in office, Jonathan built 9 federal universities and 78 Almajiri schools.”	incorrect	https://africacheck.org/reports/nigerias-president-not-built-even-nursery-school-jonathan-aide-claimed/	None	None	None	None	None	Has Nigeria’s president not built even a nursery school, as Jonathan aide claimed?	2018-01-15 09:07	None	['None']
afck-00429	In 19 years the rand has weakened from R3.41 to R10.00 to the dollar.	correct	https://africacheck.org/reports/is-sa-worse-off-now-than-19-years-ago-the-facts-behind-that-facebook-post/	None	None	None	None	None	Is SA worse off now than 19 years ago? The facts behind THAT Facebook post	2013-11-28 05:16	None	['None']
afck-00070	“The debt that is guaranteed by the state in Eskom is R350 billion. In SANRAL, it’s R38.9 billion. In South African Airways, it’s R19.1 billion. In Denel, it’s R1.8 billion. In the Road Accident Fund, it’s R8.5 billion.”	mostly-correct	https://africacheck.org/reports/verifying-key-claims-in-the-2018-state-of-the-nation-debate/	None	None	None	None	None	Verifying key claims in SA’s 2018 State of the Nation address debate	2018-02-19 02:56	None	['None']
afck-00103	“ A newborn has a higher chance of dying at birth in Nairobi than in Mandera”	mostly-correct	https://africacheck.org/reports/mothers-newborns-run-higher-risk-dying-nairobi-new-governor-sonko-said/	None	None	None	None	None	Do mothers & newborns run a higher risk of dying in Nairobi, as governor Sonko said?	2017-08-24 12:58	None	['Nairobi']
afck-00367	“The economy regained the 1-million jobs lost as the results of the 2008 global recession. Employment is now higher than it has ever been.”	misleading	https://africacheck.org/reports/does-the-anc-have-a-good-story-to-tell-we-examine-key-election-claims/	None	None	None	None	None	Does the ANC have a ‘good story to tell’? We examine key election claims	2014-04-25 05:00	None	['None']
afck-00408	“On average, the economy has grown at 3,2 percent a year from 1994 to 2012 despite the global recession which claimed a million jobs.”	mostly-correct	https://africacheck.org/reports/a-first-look-at-president-jacob-zumas-2014-state-of-the-nation-address/	None	None	None	None	None	President Jacob Zuma’s sixth State of the Nation address fact-checked	2014-02-14 12:39	None	['None']
afck-00116	“Our unemployment [rate] is over 40%…”	incorrect	https://africacheck.org/reports/man-debated-2-claims-kenya-presidency-hopeful-rated/	None	None	None	None	None	The man who debated himself: 2 claims by Kenya presidency hopeful rated	2017-07-21 07:42	None	['None']
afck-00219	“The DA is making great strides compared to other metros in the country – as of February 2015, Nelson Mandela Bay had 50,000 outstanding title deeds”	correct	https://africacheck.org/reports/does-the-da-create-change-that-moves-sa-forward-we-weigh-up-key-claims/	None	None	None	None	None	Does the DA create ‘change that moves SA forward’? We weigh up key claims	2016-06-02 06:07	None	['None']
afck-00228	“…in 2002, the infant mortality rate was 51.2 babies per 1,000 live births. In 2015, infant mortality rate decreased to 34.4 deaths per 1,000 live births.”	correct	https://africacheck.org/reports/is-the-anc-advancing-peoples-power-we-fact-check-key-election-claims/	None	None	None	None	None	Is the ANC ‘advancing people’s power’? We fact-check key election claims	2016-05-19 06:39	None	['None']
afck-00024	“Only 54% transit to junior secondary schools.”	exaggerated	https://africacheck.org/reports/crisis-in-nigerian-schooling-grading-three-claims-by-presidential-hopeful/	None	None	None	None	None	Crisis in Nigerian schooling? Grading three claims by presidential hopeful	2018-07-31 09:43	None	['None']
afck-00084	It is also sad to note that water sold in informal settlements is the most expensive water in Nairobi County.	correct	https://africacheck.org/reports/nairobis-water-2-claims-losses-high-cost-slums-evaluated/	None	None	None	None	None	Nairobi’s water supply: 2 claims about losses & high prices in slums evaluated	2018-02-12 10:19	None	['None']
afck-00372	“In the ANC’s last year in government, not one department received a clean audit. In the DA’s first year, seven departments received clean audits.”	correct	https://africacheck.org/reports/is-the-das-western-cape-story-a-good-story-to-tell-we-examine-the-claims/	None	None	None	None	None	Is the DA’s Western Cape Story a ‘good story to tell’? We examine the claims	2014-03-28 05:02	None	['None']
afck-00171	“The expanded public works program has since 2014 created more than 2 million work opportunities towards the attainment of the target of 6 million work opportunities by the end of March 2019.”	correct	https://africacheck.org/reports/facts-alternative-facts-zumas-10th-state-nation-address-checked/	None	None	None	None	None	Facts or alternative facts? Zuma’s 10th State of the Nation Address checked	2017-02-10 07:12	None	['None']
afck-00121	“Only half the children who complete primary school are proceeding to secondary school…”	incorrect	https://africacheck.org/reports/checked-5-claims-kenya-nasa-opposition-manifesto/	None	None	None	None	None	Fact-checked: 5 claims in Kenya Nasa opposition manifesto	2017-07-07 06:32	None	['None']
afck-00298	“South Africa has one of the highest rates of rape in the world.”	correct	https://africacheck.org/reports/british-paper-mangles-sa-rape-statistics/	None	None	None	None	None	British paper mangles SA rape statistics	2015-05-28 03:00	None	['South_Africa']
afck-00074	“Our state employs some one million public servants.”	incorrect	https://africacheck.org/reports/state-of-the-nation-address-1-president-cyril-ramaphosas-claims-weighed-up/	None	None	None	None	None	Fact-checked: Pres Cyril Ramaphosa’s first-ever State of the Nation Address	2018-02-16 06:36	None	['None']
afck-00199	“[Sugar-sweetened drinks] account for just 3% of daily calorie intake in South Africa.”	misleading	https://africacheck.org/reports/sas-proposed-sugar-tax-claims-calories-job-losses-checked/	None	None	None	None	None	SA’s proposed sugar tax: claims about calories & job losses checked	2016-08-31 10:31	None	['South_Africa']
afck-00363	“In 1994, 5.5-million households had access to electricity.”	incorrect	https://africacheck.org/reports/does-the-anc-have-a-good-story-to-tell-we-examine-key-election-claims/	None	None	None	None	None	Does the ANC have a ‘good story to tell’? We examine key election claims	2014-04-25 05:00	None	['None']
afck-00317	“Our economy has lost R300-billion since 2008 because, without a stable electricity supply, manufacturers cannot produce, investors are driven away and jobs are lost.”	mostly-correct	https://africacheck.org/reports/mmusi-maimane-sona-2015-response-fact-checked/	None	None	None	None	None	Mmusi Maimane’s SONA 2015 response fact-checked	2015-02-25 01:20	None	['None']
afck-00373	“The country’s top three government departments since 2011 have all been in the Western Cape.”	correct	https://africacheck.org/reports/is-the-das-western-cape-story-a-good-story-to-tell-we-examine-the-claims/	None	None	None	None	None	Is the DA’s Western Cape Story a ‘good story to tell’? We examine the claims	2014-03-28 05:02	None	['None']
afck-00293	The employment tax incentive “had supported the creation of 216,000 young workers in December 2014.”	incorrect	https://africacheck.org/reports/national-youth-policy-unemployment-and-education/	None	None	None	None	None	National Youth Policy: unemployment and education claims fact-checked	2015-06-10 01:12	None	['None']
afck-00332	“There are still 3.4 million households in the country without electricity”	unproven	https://africacheck.org/reports/sona-2015-key-claims-fact-checked-part-1/	None	None	None	None	None	SONA 2015: Key claims fact-checked	2015-02-13 03:07	None	['None']
afck-00230	“Of the target of 6 million between 2014 and 2019, 1.24 million work opportunities were already created by the end of March 2015. This figure surpassed the target of 1.04 million for that period. This is [a] 119% achievement.”	unproven	https://africacheck.org/reports/is-the-anc-advancing-peoples-power-we-fact-check-key-election-claims/	None	None	None	None	None	Is the ANC ‘advancing people’s power’? We fact-check key election claims	2016-05-19 06:39	None	['None']
afck-00432	“With regard to social infrastructure, a total of 98 new schools will have been built by the end of March, of which more than 40 are in the Eastern Cape that are replacing mud schools.”	misleading	https://africacheck.org/reports/the-state-of-the-nation-address-fact-checked/	None	None	None	None	None	The State of the Nation Address: fact-checked	2013-02-15 12:06	None	['None']
afck-00109	“Functional illiteracy [has decreased] nearly by half from 34% to 19%.”	understated	https://africacheck.org/reports/sas-secret-ballot-debate-6-anc-achievements-scrutinised/	None	None	None	None	None	SA’s secret-ballot debate: 6 ANC achievements scrutinised	2017-08-17 08:52	None	['None']
afck-00270	“White families earn six times more than what black families earn. A black family’s annual income is R60,000 whereas a white family earns an annual income of R360,000.”	mostly-correct	https://africacheck.org/reports/race-poverty-and-inequality-black-first-land-first-claims-fact-checked/	None	None	None	None	None	Race, poverty and inequality: Black First Land First claims fact-checked	2015-08-27 02:44	None	['None']
