goop-02071	Kendall Jenner, Blake Griffin “Clash” Over Wedding Plans?	0	https://www.gossipcop.com/kendall-jenner-wedding-blake-griffin-marriage/	None	None	None	Shari Weiss	None	Kendall Jenner, Blake Griffin “Clash” Over Wedding Plans?	10:55 am, December 7, 2017	None	['Kendall_Jenner', 'Blake_Griffin']
pomt-06432	Says the national heath care reform is "a government takeover of health care."	pants on fire!	/new-jersey/statements/2011/oct/23/chris-christie/chris-christie-slams-health-care-reform-government/	As Gov. Chris Christie proved last week, some lies never die. Having endorsed Republican presidential candidate Mitt Romney, Christie has been addressing what he considers illegitimate comparisons between Romney’s health care reform in Massachusetts and the national health care reform led by President Barack Obama. The governor discussed the differences between the two reforms Wednesday on The Dom Giordano Show on Talk Radio 1210 WPHT. "Secondly, what I’d say to the President is, in Massachusetts, we didn’t propose to raise taxes, as you proposed to raise taxes a trillion dollars to pay for a government takeover of health care," Christie told Giordano. "Third thing is that ninety-three percent of the people in Massachusetts had private insurance then and have private insurance now. That’s not what’s gonna happen under Obamacare. It’s gonna be a government takeover of health care." By referring to the national reform as "a government takeover of health care," Christie was repeating a claim that’s been debunked numerous times by various news organizations. In fact, our PolitiFact colleagues recognized that claim as the 2010 Lie of the Year. PolitiFact New Jersey contacted seven health care experts from across the country and reached the same conclusion: the national reform greatly expands federal involvement, but the law is largely built upon the existing private health insurance industry. By no means is it a government takeover. "I respect Gov. Christie a lot and like his style, but in this case he seems to speak off a talking point coming out of Washington more so than from a conviction forged by his own cerebrum," Princeton University professor Uwe Reinhardt said in an email. The governor’s office did not respond last week to requests for comment. Now, let’s explain how the private market remains intact under the health care reform. It’s true that the national reform imposes more government regulations for individuals, employers and private insurance companies. The reform also expands the Medicaid program. Insurers must adhere to various new provisions, such as providing coverage for dependent children up to 26 years old and not restricting coverage based on pre-existing conditions. Insurers also can sell coverage through new insurance exchanges, but they must follow certain benefit standards set by federal officials. But despite those and other additional regulations, the private health insurance industry remains intact under the reform, according to various experts. "People will have choices of all these different private insurance companies," said Sabrina Corlette, a research professor at the Health Policy Institute at Georgetown University. Richard Bonnie, a professor at the University of Virginia School of Law and an expert on public health law, said the reform allows for a larger federal presence in health insurance regulation, but not a takeover of the market. "It left the existing structure in place and tried to bring more people under the tent," Bonnie said. Based on projections from the Congressional Budget Office, the reform will allow more people to become enrolled in private insurance plans. Under the reform, the federal government will provide subsidies to individuals at certain income levels to purchase coverage through the exchanges. By 2021, an additional roughly 24 million non-elderly Americans are expected to purchase insurance through the exchanges, according to the budget office. About an additional 17 million will be enrolled in Medicaid and the Children’s Health Insurance Program, the budget office stated. Still, according to the budget office, most of the non-elderly population with health insurance will continue to be covered under private plans through their employers. Timothy Jost, a professor at Washington and Lee University School of Law in Virginia, said the reform seeks to improve upon the private market, in part by making coverage more affordable through federal subsidies and by making insurance more competitive through the exchanges. "It’s not a government takeover," Jost said. Our ruling On a radio show last week, Christie claimed the national health care reform was "a government takeover of health care." While the reform gives the federal government a larger role in the health insurance industry, it doesn’t eliminate the private market. In fact, the reform is projected to increase the number of citizens with private health insurance. We know Christie doesn’t like the national health care reform, but he should know better than to call it a "government takeover." That’s been proven wrong over and over again, making his claim simply ridiculous. Pants on Fire! To comment on this ruling, go to NJ.com. https://www.sharethefacts.co/share/3ceec3e9-8140-408a-9e30-de59b9e03d82	None	Chris Christie	None	None	None	2011-10-23T07:30:00	2011-10-19	['None']
hoer-00527	'Robert Mugabe Announces Plans For Final Solution Against White Racism'	statirical reports	https://www.hoax-slayer.com/fake-news-mugabe-final-solution-white-racism.shtml	None	None	None	Brett M. Christensen	None	FAKE-NEWS: 'Robert Mugabe Announces Plans For Final Solution Against White Racism'	October 1, 2014	None	['None']
goop-02337	Sophie Turner Knew Joe Jonas Was “The One The Moment They Met”?	1	https://www.gossipcop.com/sophie-turner-the-one-joe-jonas-engaged/	None	None	None	Shari Weiss	None	Sophie Turner Knew Joe Jonas Was “The One The Moment They Met”?	4:09 pm, October 17, 2017	None	['None']
pomt-12956	"Beginning on Jan. 1, prostitution by minors will be legal in California."	pants on fire!	/california/statements/2017/jan/04/travis-allen/lawmakers-claim-about-california-legalizing-child-/	Did California really legalize child prostitution? That’s the startling question our audience asked after reading a misleading op-ed by Republican state Assemblyman Travis Allen in the Washington Examiner. Allen’s opinion piece has been shared widely on social media and led several readers to ask PolitiFact California to check it out. We decided to fact-check the first line of Allen’s column, which largely reflects the rest of the piece: "Beginning on Jan. 1, prostitution by minors will be legal in California. Yes, you read that right." The op-ed is headlined: "California Democrats legalize child prostitution." UPDATE: Allen repeated his claim on The O'Reilly Factor on Fox News on Jan. 4, 2017, saying at the end of his interview that "The California Democrats did just legalize child prostitution in California." &amp;amp;amp;amp;amp;amp;amp;amp;amp;amp;nbsp; Our research Last year, Gov. Jerry Brown signed into law Senate Bill 1322. It decriminalizes prostitution for minors by preventing law enforcement from arresting people under 18 for soliciting sex or loitering with intent to commit prostitution. Supporters of the law said it’s designed to treat children involved in prostitution as victims rather than as criminals. It does nothing, however, to legalize commercial sex acts. People caught having sex with minors, soliciting sex with minors or arranging clients for them can still be charged with crimes. "The key is that the children involved are not liable, not that the conduct has been legalized," said Gabriel Chin, a criminal law professor at UC Davis School of Law, who analyzed the law upon our request. Chin added that under the new law "child prostitution is treated just as, say, the production of child pornography is." Adults involved are subject to criminal prosecution, while the children, who are seen as victims, are not, he said. Representatives for Allen did not respond to our questions. Allen, who represents Orange County, told KQED public radio he rejects the criticism he’s received over the column. "I don't care about any amount of legalistic spin that someone wants to put on it. When you decriminalize something, you legalize it," Allen said in the radio interview. After his initial claim in the op-ed that "prostitution by minors will be legal," Allen adds some factual context in his second line by noting law enforcement can’t "arrest" underage workers for soliciting sex. A few paragraphs later, however, he wrongly asserts that the new law means law enforcement can’t "interfere" with minors engaging in prostitution. The law, in fact, includes provisions that officers who encounter these minors shall report the circumstances to the county child welfare agency as abuse or neglect. It also authorizes officers to take a minor engaged in a commercial sex act into temporary custody under some circumstances, including in the event of immediate physical danger or when medical care is needed. Bill’s author responds Democratic state Sen. Holly Mitchell of Los Angeles, who authored Senate Bill 1322, responded on Twitter to the mischaracterizations of the law. "I denounce false claims made by Republicans on my bill #SB1322 that decriminalizes sexually exploited minors," she wrote. "I proudly authored SB 1322 to protect minor victims of human sex trafficking from being further charged as criminals for commercial sexual exploitation." "This notion, perpetuated by Assemblymember Travis Allen (R-Huntington Beach), that my bill legalizes prostitution and commercial sex for minors is categorically untrue," she added. "It remains unlawful for a person under the age of 18 to consent to sexual intercourse in the State of California and the law remains in effect and is not changed with the implementation of my bill." California state Sen. Holly Mitchell responded to Allen's claims on Twitter. The Sacramento Bee’s fact-checking team PoliGRAPH also examined Allen’s op-ed. It described it as a "misleading column" and rated its assertions "False." Our ruling California state Assemblyman Travis Allen claimed in a recent column that "Beginning on Jan. 1, prostitution by minors will be legal in California." His claim profoundly distorts a new state law that treats minors engaged in commercial sex acts as victims, but does nothing to legalize prostitution. Young people under age 18 who solicit sex won’t be arrested and sent to juvenile hall. Instead, officers will have the option of taking them into temporary custody if they are in immediate danger or need medical attention. It also says officers shall report the circumstances of minors engaged in prostitution to the county child welfare agency as abuse or neglect. The law does nothing to change the fact that it is illegal to have sex with minors, solicit prostitutes or arrange clients. Allen’s specific claim, and the column in general, is grossly misleading. We rate Allen’s claim Pants On Fire. PANTS ON FIRE – The statement is not accurate and makes a ridiculous claim. Click here for more on the six PolitiFact ratings and how we select facts to check. https://www.sharethefacts.co/share/0b7cdfed-8ed5-4005-8b1c-f5f4306db926	None	Travis Allen	None	None	None	2017-01-04T16:30:07	2016-12-29	['California']
pose-00843	Modeled after Ohio's successful Third Frontier fund, FitzGerald's "Fourth Frontier" would use grants and revenues from Cleveland's soon-to-be-built casino to invest in local businesses.	promise kept	https://www.politifact.com/ohio/promises/fitz-o-meter/promise/875/establish-an-economic-development-fund-greater-tha/	None	fitz-o-meter	Ed FitzGerald	None	None	Establish a $100-million economic development fund	2011-01-20T13:56:11	None	['Ohio', 'Cleveland']
vees-00453	Calida defined the role of the OSG:	none	http://verafiles.org/articles/vera-files-fact-check-can-solgen-tell-courts-napoles-not-gui	Under the Administrative Code of 1987, the OSG is an independent and autonomous office attached to the Department of Justice. It is mandated to defend and “represent the Government of the Philippines, its agencies and instrumentalities and its officials and agents in any litigation, proceeding, investigation or matter requiring the services of a lawyer.”	None	None	None	fact-check,Fact check	VERA FILES FACT CHECK: Can the SolGen tell the courts that Napoles is not guilty?	February 21, 2017	None	['None']
pomt-11545	In Georgia, "25 percent of rural residents" are "without access to high speed internet."	true	/georgia/statements/2018/feb/12/brian-kemp/does-25-percent-rural-georgia-lack-access-high-spe/	Many rural Georgians have been left behind because they don’t have access to high-speed internet, said Brian Kemp, a Republican seeking to become Georgia’s next governor. "With 25 percent of rural residents without access to high-speed internet, bringing this access to all of Georgia is a fundamental component of our plan to strengthen rural Georgia," Kemp said on his campaign website. High-speed internet can help small businesses, improve access to quality healthcare and spur economic development, said Kemp, currently Georgia’s Secretary of State. We wondered if Kemp was right about the share of rural Georgians without high-speed internet and found that he accurately cited information stemming from a 2016 Federal Communications Commission report on broadband deployment. FCC’s high speed internet standard, progress reports High-speed internet is a term often used interchangeably with broadband. Broadband "commonly refers to high-speed internet access that is always on and faster than the traditional dial-up access," according to the FCC. (Dial-up uses a modem and standard phone line to establish an internet connection.) Broadband technologies include Digital Subscriber Line, or DSL, cable modem and fiber. The FCC benchmark for fixed (not mobile) broadband internet is speeds of 25 Megabits per second for downloads and 3 Megabits per second for uploads. A section of the Telecommunications Act of 1996 requires the FCC to determine annually whether advanced telecommunications capability is being deployed to all Americans "in a reasonable and timely fashion," and if not, to take immediate action to accelerate deployment. Regarding Georgia’s rural population without high-speed internet access, Kemp’s campaign referred us to a May 2017 presentation from the House Budget and Research Office given at a House Rural Development Council meeting. Part of that presentation said an estimated 626,070 individuals, or 25 percent of the rural population, were without access to 25 Mbps/3 Mbps internet. Those figures trace back to the FCC’s 2016 Broadband Progress Report, which also found that 39 percent of all rural Americans did not have access to broadband internet. "The largest factor preventing access to unlimited ‘high-speed’ broadband is the cost of buildout for the infrastructure," said Eric McRae, associate director of the Carl Vinson Institute of Government at the University of Georgia. Depending on the technology being implemented, cost can range from $18,000 to $30,000 per mile, McRae said. "Many carriers are developing new technologies (wireless) to help drive down the cost of buildout to make it a more cost-effective endeavor in the rural portions of the state," he said. A more recent FCC report on broadband deployment, released this month, found that 71.9 percent of rural Georgians had access to fixed terrestrial broadband at speeds of 25 Mbps/3 Mbps, suggesting 28.1 percent did not. The new report also looked at populations’ access to mobile internet, but said it was not establishing a benchmark for mobile, as it does for fixed services. While both fixed and mobile services enable access to information and entertainment, there are notable differences between the two technologies and limitations in the FCC’s data collection, the report said. Mobile broadband speeds can vary based on capabilities of consumers’ devices and transmissions can be subject to environmental factors that fixed services may not face, the FCC said. Generally, FCC reports have shown that rural communities tend to be at a disadvantage in receiving high-speed internet. PolitiFact Missouri found that Sen. Roy Blunt, R-Mo., accurately claimed in September 2017 that nearly 2/3 of rural Missourians don’t have access to broadband. Our ruling Kemp said that in in Georgia, "25 percent of rural residents" are "without access to high-speed internet." Kemp’s claim is backed by data reported by the FCC in 2016. New data shows that the percentage of rural residents without access to fixed terrestrial broadband is 28.1 percent. We rate Kemp’s statement True. See Figure 1 on PolitiFact.com	None	Brian Kemp	None	None	None	2018-02-12T10:22:28	2018-02-07	['None']
pomt-10985	"NASA will pay you $100,000 to stay in bed for 60 days!"	false	/punditfact/statements/2018/jul/16/blog-posting/dont-believe-nasa-will-pay-you-100000-stay-bed/	Have you ever dreamed of getting paid just for being a couch potato all day? A misleading blog post is claiming, "NASA will pay you $100,000 to stay in bed for 60 days!" Is that offer too good to be true? For the most part, it is. This story was flagged as part of Facebook’s efforts to combat false news and misinformation on its News Feed. (Read more about our partnership with Facebook.) The post, which is on the website World Facts FTW, claims that NASA wants volunteers to participate in "bed rest studies," as it wants to "study how the body reacts to extended periods of rest for astronauts who are going on extended periods of space travel." As a reward for making it through 60 days of staying in bed and enduring bone, muscle and heart tests, volunteers get a large amount of cash, the post claims. We wanted to know if this stellar offer was truly up for grabs. We found out that NASA has paid people to stay in bed for long periods of time before. But there’s a pretty large error with the blog post’s headline. We began by reverse-image searching many of the photos on the website, which were not credited, using RevEye. (RevEye is a image search engine that allows you to search the internet for all the webpages an image appears on.) Some images were lifted from a Vice article titled "How I Felt After 70 Days of Lying in Bed for Science." In that article, a volunteer named Andrew Iwanicki reflects on his experience lying down at a negative 6-degree angle for 10 weeks, and mentions that he was paid $18,000 by NASA. A number of other news sources corroborate Iwanicki’s story, and a page on NASA’s website tells readers about how bed rest studies help scientists "understand the effects of living in space." But those news outlets reported that NASA paid volunteers $18,000 to participate in a bed study — a far cry from the $100,000 mentioned in the blog post. We found no evidence to support the claim that NASA paid, or will pay, its volunteers $100,000. The blog post’s headline is also misleading, since it doesn’t consider how difficult it is to participate in a bed rest study, given the high number of applicants and low number of participants required. In the Vice article, Iwanicki reports that he was one of 55 participants selected out of 25,000 applicants. Given that NASA’s bed studies occur infrequently—the previous one concluded in November 2017 and the next one will start in fall 2018—it seems likely that they would need a small number of volunteers. A Lexis search did not return any results of NASA paying people $100,000 to participate in a bed rest study, and NASA could not be reached for comment. We attempted to contact World Facts FTW, the website the blog post was on, by using this contact form, but received an error message after we clicked "send." We also could not find a Twitter or Facebook page through which to contact World Facts FTW. This isn’t the first time that NASA’s bed rest studies have inspired misinformation. We previously debunked a version of the tale that claimed NASA was paying volunteers to lay in bed and smoke weed. Our ruling A recent blog post claims "NASA will pay you $100,000 to stay in bed for 60 days!" NASA does have a program that pays volunteers to participate in bed rest studies, where one lies down for a long period of time. The point is to allow scientists to understand how the body might be affected by space travel. But the blog post grossly exaggerates the amount of money one would receive for such a task. In the past, rather than being paid $100,000 for 60 days of lying down, volunteers have been paid $18,000 for 70 days of their time. We rate this statement False. See Figure 1 on PolitiFact.com	None	Bloggers	None	None	None	2018-07-16T10:35:25	2017-09-03	['None']
vees-00221	VERA FILES FACT CHECK: Online post says Robredo 'went wild' over 'loss' in vote recount	none	http://verafiles.org/articles/vera-files-fact-check-online-post-misleads-saying-robredo-we	None	None	None	None	fake news	VERA FILES FACT CHECK: Online post MISLEADS by saying Robredo 'went wild' over 'loss' in vote recount	May 04, 2018	None	['None']
snes-00749	Did Mark Zuckerberg Announce That He’s Closing Facebook?	false	https://www.snopes.com/fact-check/mark-zuckerberg-closing-facebook/	None	Fauxtography	None	Dan Evon	None	Did Mark Zuckerberg Announce That He’s Closing Facebook?	18 April 2018	None	['None']
goop-00721	Chris Pratt Wants To Date Emilia Clarke?	0	https://www.gossipcop.com/chris-pratt-emilia-clarke-dating/	None	None	None	Andrew Shuster	None	Chris Pratt Wants To Date Emilia Clarke?	11:00 am, June 29, 2018	None	['None']
pomt-13323	Says marijuana use among Colorado high school students "has not increased since legalization."	half-true	/arizona/statements/2016/oct/06/campaign-regulate-marijuana-alcohol/has-colorado-teen-pot-use-not-increased-legalizati/	Colorado has been the measuring stick for both supporters and opponents of an initiative to legalize recreational marijuana in Arizona this November. A recent ad from the Campaign to Regulate Marijuana Like Alcohol, a pro-marijuana group, attempts to show the positive effects of marijuana regulation in Colorado, highlighting millions of dollars going toward public education and the lack of an increase in pot use among teens. "According to the Colorado state government, marijuana use among high school students has not increased since legalization," the ad, which started airing Sept. 27, claims. We should also note that the anti-pot camp has used Colorado teen pot statistics in their ads. Colorado legalized recreational marijuana in 2012. The first retail store opened in January 2014. We have seen multiple numbers on teen pot use, so we wondered if this claim held up. Barrett Marson, a spokesman with the pro-marijuana campaign, pointed us to the 2015 Healthy Kids Colorado Survey. The ad cites a June 2016 Denver Post article, which references the survey. This survey, which takes place every two years, is done by the Colorado Department of Health and Environment. The 2015 version surveys about 17,000 middle and high school students at random. According to the results, 38 percent of high school students surveyed said they used marijuana at least once their life. In 2013, that number was 36.9 percent. The 2015 survey also noted that 21.2 percent of high-schoolers used marijuana in the last 30 days. That number was 19.7 percent in 2013. However, the stats are not significant, according to multiple experts we spoke with. This means the data has wiggle room. "There was not a statistically significant increase in 30-day or lifetime marijuana use among high school students between 2013 and 2015," said Mark Salley, a spokesman with Colorado’s health department. The state’s top health official, Dr. Larry Wolk, said the same thing in December 2015 when looking at federal data -- from the National Survey on Drug Use and Health -- on the topic. The national survey notes that 11.16 percent of Colorado 12- to 17-year-olds in the 2012-13 cycle used marijuana in the last 30 days . That number was 12.56 percent in the 2013-14 cycle. "This is not a statistically significant increase at the 5 percent level of significance," said Brad Stone, a spokesman with the Substance Abuse and Mental Health Services Administration. Jonathan Caulkins, a public policy professor at Carnegie Mellon University, said the clock hasn’t even really started on the full effects of legalizing recreational marijuana. "We’re not going to see the full effects of legalization until something like 25 years after national legalization," Caulkins said. "It takes time for the industry to adapt to new opportunities, go through the usual shake-out period." Our rating The ad claimed, "according to the Colorado state government, marijuana use among high school students has not increased since legalization." Based on the numbers cited, there does appear to have been a slight increase in marijuana use among Colorado’s high school students. However, multiple experts we spoke with said that increase is not statistically significant. They also said it was too early to draw conclusions about marijuana use, and that more years of study will be needed. We rate the ad’s claim Half True. https://www.sharethefacts.co/share/1b3ae305-61f4-4506-a9c8-c0a27f4d2c2e	None	Campaign to Regulate Marijuana Like Alcohol	None	None	None	2016-10-06T12:00:00	2016-09-27	['Colorado']
pomt-06849	Tax increases under Michigan Gov. Jennifer Granholm led to state unemployment going from 6.8 percent to 15.3 percent.	mostly false	/truth-o-meter/statements/2011/aug/04/raul-labrador/raul-labrador-says-tax-hike-led-spike-michigan-une/	During the July 31, 2011, edition of NBC’s Meet the Press, Rep. Raul Labrador, R-Idaho, faced off with former Michigan Democratic Gov. Jennifer Granholm over the causes of her state’s economic troubles. We separately analyzed a comment by Granholm in which she took responsibility for cuts in state government and said that they had hurt Michigan’s economic growth. Labrador responded to Granholm’s comment by arguing that tax increases on her watch played a role in the state’s economic distress. Addressing host David Gregory, Labrador -- a tea party-affiliated House freshman -- said, "Let's talk about the truth about what happened in Michigan. Gov. Granholm actually supported the highest tax increases in the history of Michigan, and unemployment went from 6.8 percent to 15.3 percent." After some stop-and-start verbal sparring with Granholm, Labrador proceeded to offer a contrast with Michigan, saying that Texas has thrived economically under a policy of tax decreases. After talking to experts, we decided not to check Labrador’s specific claim that the tax increase under Granholm was the biggest in the state’s history. We made this decision for two reasons -- first, there are many conflicting ways to make such a comparison and second, the data to prove or disprove the claim is difficult to obtain. Instead, we’ll look at two questions. Did the state’s unemployment rate go from 6.8 percent to 15.3 percent? And did the tax increases under Granholm -- whether or not they were historically large -- contribute to the increase in unemployment? Did the state’s unemployment rate go from 6.8 percent to 15.3 percent? This one turned out to be more complicated than we’d expected. We first turned to the Bureau of Labor Statistics, the federal agency that calculates both the national unemployment rate and the unemployment rate for each of the 50 states. We found that the unemployment rate was indeed 6.8 percent around the time Granholm took office in February 2003. The rate stayed strikingly consistent during the next five years of Granholm’s tenure, staying within a narrow range between 6.7 percent and 7.4 percent through April 2008. Then it began to climb. According to BLS, the unemployment rate peaked at 14.1 percent in August and September of 2009 before falling to 10.4 percent when Granholm left office in February 2011. Though 14.1 percent is high, it’s not as high as the 15.3 percent Labrador said. But Labrador has good reason to think that the rate went that high. In October 2009, the Michigan Department of Energy, Labor and Economic Growth issued a press release noting that the state’s unemployment rate had ticked upward to 15.3 percent in September. So what happened? The rate was initially pegged at 15.3 percent, but as often happens, more complete data came to light and the number was revised. That’s how the rate was subsequently lowered to 14.1 percent. So while Labrador overstated the peak unemployment rate under Granholm, we’ll give him some leeway because the higher number did receive media attention before the revision was made. Did the tax increases under Granholm contribute to the increase in Michigan’s unemployment? The short answer is that they probably did -- but they were hardly the driving force that Labrador implies. He’s correct that Granholm enacted a tax increase package in 2007, as the state was facing a dire fiscal outlook. The package included a hike in the state income tax rate from 3.9 percent to 4.35 percent (although this was below the 4.4 percent rate it had been in 1999 under Republican Gov. John Engler). She also enacted a surcharge on the state’s business tax, which replaced an ill-fated, and quickly repealed, effort to expand the sales tax to a smorgasbord of services that had been included in the same bill as the income tax hike. Experts we spoke to said that, on the margins, these taxes could have added to the state’s economic difficulties, possibly sending unemployment higher. However, their effect would have been small compared to the other economic factors in play at the time. Michigan’s unemployment rate began climbing in April 2008, four months after the official start of the last recession, and it increased rapidly -- from 7.4 percent to 13.1 percent. That’s a 75 percent increase in the unemployment rate in the space of just one year. "Was there anything else going on in the world other than the Michigan tax system that might have affected the employment picture?" said Charles Ballard, an economist at Michigan State University and author of Michigan's Economic Future: A New Look. "If Michigan’s tax system was the only thing that affected jobs, why was the rest of the country losing 7 million jobs at the same time? You can’t lay this at the feet of the Michigan tax system." Indeed, if you look at the trends in the unemployment rate for Michigan and for the nation as a whole, they follow a similar arc. Craig Thiel, director of state affairs with the nonpartisan Citizens Research Council of Michigan, acknowledged that it’s difficult to disentangle the various factors that pushed Michigan’s unemployment so high. Still, he said that "the near-term impact that the recession had on Michigan employment certainly swamped any possible adverse economic effects resulting from the tax increases." It’s also worth noting that between April 2010 and April 2011 -- a period that covered most of Granholm’s final year in office -- the state’s unemployment rate fell by 2.9 percentage points, more or less in tune with national declines. Michigan’s decrease in unemployment was as rapid as any state in the nation, even though the previously adopted higher taxes were still in effect. Gary Burtless, an economist at the centrist-to-liberal Brookings Institution, added that even if Labrador were correct that tax policy hampered Michigan’s economic growth, it still wouldn’t necessarily provide any useful advice on the topic the Meet the Press panelists began with -- the federal fiscal picture. "The lessons we can draw for federal policy based on the experience of states is questionable," Burtless said. "In the long run, high state tax burdens may slow state growth rates, but that does not mean the result applies to the federal government. Middle- or high-income residents of high-tax jurisdictions may move to lower-tax jurisdictions to reduce their tax burdens -- Michiganders to Texas, New Yorkers to Georgia, Californians to Idaho. But there’s very little evidence for this effect in the country as a whole. How many Americans will move to Mexico or Canada to avoid higher federal taxes in the United States?" Our ruling Even though Labrador ignored the revised numbers, we consider his recap of the arc of Michigan unemployment to be fair. However, while higher taxes may have boosted unemployment on the margins, most of the available evidence suggests that Michigan’s rise in unemployment tracked the course of the national recession, simply to a greater degree, given the weakness of the state’s signature manufacturing sector. The experts we spoke to agreed that the impact of tax policy likely played a relatively minor role in the unemployment spike Labrador was referring to in 2008 and 2009. We rate his statement Mostly False.	None	Raul Labrador	None	None	None	2011-08-04T17:00:46	2011-07-31	['Michigan']
pose-00337	"Will ensure that New Orleans has a levee and pumping system to protect the city against a 100-year storm by 2011, with the ultimate goal of protecting the entire city from a Category 5 storm."	compromise	https://www.politifact.com/truth-o-meter/promises/obameter/promise/354/strengthen-the-levees-in-new-orleans/	None	obameter	Barack Obama	None	None	Strengthen the levees in New Orleans	2010-01-07T10:47:35	None	['New_Orleans']
pomt-01346	"The next state budget will begin with a surplus of over half a billion dollars -- $535 million to be exact."	false	/wisconsin/statements/2014/oct/22/scott-walker/scott-walker-says-next-state-budget-will-begin-535/	Gov. Scott Walker put a happy face on the state’s long-term budget outlook in his second debate with Democratic challenger Mary Burke. "The most recent fiscal year just ended with a cash balance of some $517 million," Walker said. "And the next state budget will begin with a surplus of over half a billion dollars -- $535 million to be exact. That means we can invest in our priorities." That first figure is undisputed and widely reported: The state ended the year from July 1, 2013 to June 30, 2014 in the black by $517 million. But Burke challenged Walker’s second figure. There’s a $1.8 billion shortfall heading into the 2015-’17 budget, she said, not a "surplus of over half a billion dollars." That’s a huge difference. To determine if Walker is right about the projected $535 million surplus, we turned to reports issued by the state’s nonpartisan budget scorekeeper, the Legislative Fiscal Bureau. But first, we want to be crystal clear about what is being debated here. It’s not a prediction of how the second year of the 2013-’15 budget will end up. Rather, Walker is talking about projections on where the state’s finances will be as the next governor and Legislature put the 2015-’17 budget together in early 2015. This is what is often referred to as the "structural deficit." The name is unfortunate. The figure does not reflect a "deficit" or -- if Walker is right -- a "surplus" at the end of a budget year. Rather, it is a tally of past decisions -- both in spending and in tax collections -- that officials will have to account for in the next two-year budget. As such, it’s a benchmark for the size of the budget challenge. The Fiscal Bureau does this exercise periodically, mostly during budget season. The bureau’s longstanding method is to assume no loss or gain in revenue and no changes in spending. Applying the same approach allows for a consistent picture over time. The bureau’s latest estimate came out Sept. 8, 2014. The bottom line: a $1.76 billion deficit heading into the 2015-’17 budget. Among the chief reasons for the gap: Tax cuts approved by Walker and the Republican-led Legislature, which contributed to a slowing of revenue. The numbers cited by Walker So what is Walker referring to with his $535 million surplus figure? That figure is contained in a Sept. 18, 2014 Fiscal Bureau memo to a Republican state representative, John Nygren of Marinette. In the wake of the $1.8 billion estimate, Nygren asked the bureau to look at it a different way. He asked for an estimate of the budget challenge assuming that lawmakers would hold most spending at 2014-’15 levels for the two following years, and tax revenue would rise at the five-year average of 2.9 percent. That yielded an estimate of a $535 million surplus. The Fiscal Bureau also got a request from a Democrat, state Sen. Jennifer Shilling of La Crosse. It asked the Fiscal Bureau to run an estimate based on increases in school spending, granting state agencies their $1 billion spending requests and other changes. Budget requests came in Sept. 15, 2014. That estimate was a $2.7 billion shortfall. Another scenario run for Shilling was a deficit of $4 billion. You get the idea. Just weeks from the Nov. 4, 2014 election, both parties have come up with ways to manipulate the Fiscal Bureau’s $1.8 billion estimate using some scenarios that range from spending freezes to giving agencies everything on their wish lists. We’re not buying it. Walker’s own budgets report the "structural deficit" number using the method the Fiscal Bureau used to come up with $1.8 billion. And lawmakers of both parties have done the same for years. Indeed, Walker has used the "structural deficit" estimates to his advantage in the past and even has made it the centerpiece of his re-election campaign. Every time you hear the governor say he inherited a $3.6 billion "deficit" from Gov. Jim Doyle, it’s a reflection in part of the $2.5 billion "structural deficit" the Fiscal Bureau estimated in 2011 as Walker prepared his first budget. And Walker, again using the Fiscal Bureau’s traditional methodology, has touted the fact that his tight budgeting actually eliminated -- however temporarily -- the structural deficit heading into his second budget. Walker’s campaign argues that the Fiscal Bureau memo is based on some outdated figures and that it’s zero-growth assumption is unrealistic. But the governor is seeking to have it both ways, trumpeting the bureau’s method when it suits him and rejecting it when it does not. The numbers will change again when the Fiscal Bureau updates its report in early 2015. Our rating Walker told debate viewers: "The next state budget will begin with a surplus of over half a billion dollars -- $535 million to be exact." That rosy number flies in the face of the official estimate that uses a long-established method used by members of both parties, and the governor’s budget office. We rate the claim False.	None	Scott Walker	None	None	None	2014-10-22T05:00:00	2014-10-17	['None']
tron-02550	Video Exposes Tacoma Housing Project For Illegal Aliens and Refugees	fiction!	https://www.truthorfiction.com/tacoma-video/	None	miscellaneous	None	None	None	Video Exposes Tacoma Housing Project For Illegal Aliens and Refugees	Mar 17, 2015	None	['None']
