snes-00238	A photograph shows a woman buried up to her neck jsut before being stoned to death in Iran.	miscaptioned	https://www.snopes.com/fact-check/buried-woman-stoned-photo/	None	Fauxtography	None	David Mikkelson	None	Does This Photograph Show a Woman About to Be Stoned to Death in Iran?	9 August 2018	None	['Iran']
snes-00844	Organizers working for billionaire George Soros ran Craigslist ads offering $300 each to individuals participating in the 24 March 2018 "March for Our Lives" protests.	false	https://www.snopes.com/fact-check/soros-paid-march-for-our-lives-protesters/	None	Conspiracy Theories	None	David Emery	None	Did George Soros Pay ‘March for Our Lives’ Protesters $300 Each?	26 March 2018	None	['George_Soros']
pomt-13564	Says Marco Rubio "voted against the bipartisan Violence Against Women Act."	true	/florida/statements/2016/aug/24/patrick-murphy/rubio-voted-against-violence-against-women-act-mur/	Democratic U.S. Rep. Patrick Murphy is attacking Marco Rubio, his presumptive general election opponent in the race for Senate, for allegedly voting against domestic violence measures. Murphy lambasted Rubio for having a "terrible record on women’s health" in an Aug. 19 post on his website. Murphy’s post said Rubio opposed the right to choose an abortion, Obamacare and Planned Parenthood. "He even voted against the bipartisan Violence Against Women Act," Murphy’s campaign wrote. That sounded like a ready-made attack for election season, so we checked the voting record. Sure enough, Rubio voted against the legislation. But he had his reasons. Qualified support The original 1994 Violence Against Women Act was championed by then-Sen. Joe Biden of Delaware. It provided grants to authorities on the state and local levels for domestic violence hotlines, police training, legal and housing assistance, and more. It has been credited for a decrease in domestic violence and an upswing in reporting incidents to police. The act was reauthorized in 2005, then due to expire in 2011. That brings us to Rubio’s first term. Sen. Patrick Leahy, D-Vt., sponsored a Senate bill in 2011 to continue the provisions of the act. It didn’t come to a vote until the following year. Rubio said he supported reauthorizing the law. But he voted against it. On April 26, 2012, Rubio and 30 other Republicans voted against Leahy’s bill, which still passed with at least some support from both sides of the aisle. Rubio released a statement after the vote saying he was in favor of the act, but opposed portions of the bill. Rubio pointed out he had voted for a proposed amendment he thought better addressed rape kit backlogs, sentencing guidelines and law enforcement databases. He added that he was against Leahy’s bill because it didn’t deal with spending controls the way he liked and gave the Justice Department control over state programs. "I support reauthorizing the current Violence Against Women Act as written and hope we can vote for it once it comes out of the House-Senate conference committee," Rubio said. Leahy’s bill passed the Senate, but died in the House that year. The reauthorization came back in 2013, with Rubio again voting against it in the Senate, where it passed Feb. 13 with bipartisan support, 78-22. All 22 nays were Republicans. Rubio released another statement saying he liked provisions of the bill and was proud it included human trafficking protections, but he again said he wished the original law had been reauthorized. "Unfortunately, I could not support the final, entire legislation that contains new provisions that could have potentially adverse consequences," he said. He echoed some concerns from the year prior, saying he disagreed with how the bill shifted funding from domestic violence programs to sexual assault programs and took power out of state hands. He also opposed a provision allowing Native American tribal governments greater jurisdiction in abuse cases, giving tribal courts the power to prosecute non-Native American men. On Feb. 28, 2013, the House reauthorized the Violence Against Women Act with a bipartisan vote of 286-138, with 87 Republicans voting for it. Our ruling Murphy said Rubio "voted against the bipartisan Violence Against Women Act." Rubio voiced support for the original law, but he and some Republicans in both the Senate and House opposed certain provisions added to the bill pertaining to spending and federal oversight. Rubio voted against the bill in 2012 and 2013, but it passed with bipartisan support the second time. Even though he had clearly stated his reasons why, Rubio still voted nay. We rate Murphy’s statement True.	None	Patrick Murphy	None	None	None	2016-08-24T12:33:24	2016-08-19	['None']
pomt-07306	"The new beverage tax will increase the cost of sodas, juice drinks, sports drinks, iced teas, and flavored water up to 50%."	half-true	/rhode-island/statements/2011/may/18/american-beverage-association/beverage-association-says-ri-tax-would-increase-su/	Taxes are on everyone's mind, especially in the wake of Gov. Lincoln Chafee's widely criticized proposal to impose a sales tax on previously exempt items. Now, the folks who bring us a wide variety of beverages are protesting a proposed new tax on sugar-flavored drinks. In full-page newspaper advertisements, pamphlets and placards on store shelves, the American Beverage Association, an advocacy group representing the nonalcoholic beverage industry, is warning consumers that they are going to see an increase of up to 50 percent in the price of their favorite beverage. For example, the placard we saw at a local Stop & Shop had a big red stop sign and the words: "The new beverage tax will increase the cost of sodas, juice drinks, sports drinks, iced teas, and flavored water up to 50%." The claim left us thirsting for the truth, so we started making inquiries. At issue are two identical bills in the state legislature -- one in the House (H5432), the other in the Senate (S2952). Both call for a tax of 1 cent per ounce on drinks with added sugar or high-calorie sweetener. Thus, a 20-ounce bottle of Pepsi would cost you an extra 20 cents. A 2-liter bottle of Mountain Dew would cost an additional 68 cents. The potential revenue, estimated at $28 million per year, would not be used to help the cash-strapped state, at least as the legislation is now written. It would instead be given to the Health Department for anti-obesity programs. The goal is to move consumers away from "sugar-added beverages, which have no nutritional value and which have a tendency to contribute to a lot of health problems," said Steven DeToy, director of public and government affairs for the Rhode Island Medical Society, one of the groups pushing the legislation. Nationwide, non-diet sodas make up about 70 percent of the $75 billion carbonated soft drink market in the U.S., according to John Sicher, editor and publisher of Beverage Digest. According to the U.S. Department of Agriculture, they now account for half the added sugar in the U.S. diet. Opponents say the tax would be one more burden to consumers, driving shoppers across state lines to buy their soda while doing little to reduce obesity. To find out how much the proposed tax would raise prices, we went shopping. We discovered that when it comes to the purchase of individual bottles and cans, the claim wasn't close to true. A 20-ounce bottle of Coke selling for $1.49 would increase in price by 13 percent, to $1.69. An 8-ounce can of Red Bull selling for $2.29 would cost $2.37, 4 percent more. A dozen 12-ounce cans of soda priced at $6.19 per case, which we found at a Providence Rite Aid, would cost $7.63, and additional 23 percent. But if you buy soda on sale and in volume, the percentage increase is greater. For example, at Stop & Shop, you could get three of those 12-packs for $10 (or $3.34 per pack); in that case the price would increase to $4.78 per pack, or 43 percent more. If you bought a 2-liter bottle of Pepsi (68 ounces) as part of a 2-for-$3 promotion ($1.50 each), it would make each bottle cost $2.18, or adding 45 percent to the cost of each bottle. And with a 3-liter bottle of Stop & Shop-brand root beer, selling at 4 for $5 (or $1.25 each), the tax would increase the per-bottle price to $2.26, or 81 percent more, even more that the beverage association warns. So the increases are all over the scanner. There's another problem with the American Beverage Association claim. The legislation would tax only drinks to which sugar, high-fructose corn syrup or another high-calorie sweetener has been added. Diet sodas would be exempt. So would drinks with more than 50 percent fruit or vegetable juice. So would beverages you get from a soda fountain. A Coke at McDonald’s, unless it was in a bottle, would not carry the tax. In its claim, the beverage association is ignoring those distinctions. One reason may be that the wholesalers might cover the cost of the tax by spreading it out among all beverages. (They made that argument during a March 9 hearing before the House Finance Committee.) That means consumers would pay more for all types of drinks, healthy or otherwise. However, if they adopted that practice, the overall increase to consumers would fall even further. The "up to 50%" claim, as tenuous as it is, would be even less accurate. In summary, it is correct that if you were to buy a sugary drink on sale and in bulk, the added price could approach -- and in some cases exceed -- 50 percent because the tax would be levied on a per-ounce basis. But for individual bottles and cans, the tax would typically be far lower -- 20 percent or less for a 20-ounce drink bought for 98 cents or more. In addition, opponents of the bill are inaccurately implying that the increase would apply to all sodas, juice drinks, soft drinks, iced teas and flavored waters. That's not true; that's not how the bill is written. And if the companies decided to jack up the prices for the diet drinks and all-natural fruit drinks that would be exempted from the tax, the beverage association's estimate of the potential price increases would be even less true. By trying to have it both ways, the American Beverage Association is making a claim that is accurate but leaves out important details. So we rate its statement as Half True. (To comment or offer your ruling, visit us on Facebook.)	None	American Beverage Association	None	None	None	2011-05-18T00:01:00	2011-05-11	['None']
pomt-14820	"The Libyan people have voted twice in free and fair elections for the kind of leadership they want."	half-true	/truth-o-meter/statements/2015/nov/23/hillary-clinton/hillary-clinton-says-libyan-people-have-voted-twic/	During the presidential race, any discussions about Hillary Clinton and Libya have typically focused on the deadly attack on a U.S. outpost in Benghazi on Sept. 11, 2012. But after a recent foreign policy speech, Clinton was asked about the success -- or lack thereof -- of democratization in Libya, a country ruled for decades by dictator Muammar Gaddafi. The question focused on Donald Trump’s argument that removing dictators in the Middle East leads to more chaos in places like Iraq, Yemen and Libya. Wasn’t Trump right, the questioner asked? Clinton responded, "Well, he has a very short-term view of history, because it is not at all clear what the final outcome will be in the places that you named." She then zeroed in on the situation in Libya: "The Libyan people have voted twice in free and fair elections for the kind of leadership they want," Clinton said in the Nov. 19, 2015, speech. "They have not been able to figure out how to prevent the disruptions that they are confronted with because of internal divides and because of some of the external pressures that are coming from terrorist groups and others. So I think it's too soon to tell, and I think it's something that we have to be, you know, looking at very closely." We wondered whether Clinton was correct to say that "the Libyan people have voted twice in free and fair elections for the kind of leadership they want," so we took a closer look. The big picture Finding anything to cheer about in Libyan politics and governance today requires a lot of squinting. "Libya has no leadership at all at the moment," said Amanda Kadlec, a project associate in defense and political sciences at the RAND Corp. who specializes in Libya. "Even though two governments -- one based in Tripoli and the other in Tobruk -- are competing for power, it is essentially a non-governed state, because the mandate of the most recent elected government expired at the end of October this year. Its members extended the mandate, a decision that foreign governments on the whole have not supported." In other words, Libya’s government is pretty close to non-functional right now, so any victories in the democratization process are hard to find. That said, Clinton did acknowledge that point in her answer, so we’ll focus on the more specific assertion she made -- that the Libyan people have participated twice in "free and fair elections." Free and fair elections? There have been three major elections held in Libya since the fall of Gaddafi -- parliamentary elections in July 2012, elections for the constitutional drafting assembly in February 2014, and parliamentary elections in June 2014. Each received at least some praise from outside observers for integrity of the balloting process, but each, to one degree or another, also faced problems. (A Clinton campaign spokesman said she was referring to the two parliamentary elections, not the constitutional drafting assembly.) Here’s a brief rundown: • Parliamentary election, July 2012. This election, which took place in something of a honeymoon between Gaddafi’s fall and the emergence of armed fighting, offers the strongest support for Clinton’s claim that free and fair elections have been held in Libya. The Carter Center -- an organization founded by former President Jimmy Carter that offers election assistance to newly democratizing countries -- released a post-election report in May 2013 that found Libya’s first national vote to be "a major step forward in the country’s transition from authoritarian rule to participatory democracy." "Despite overwhelming challenges," the center wrote, "Libyan authorities organized the election in a timely, orderly, and impartial manner that offered Libyans a historic opportunity to exercise their franchise." The report described most of the country as "peaceful and jubilant" on election day, with about 62 percent turnout among registered voters. Still, even in this relatively successful election, problems lurked. "Security challenges in Benghazi, Ajdabiya, and Kufra both immediately preceding the polls and on election day significantly marred polling in these areas," according to the Carter Center. "Attacks on materials and polling stations led to the death of (a Libyan election official) and caused polling stations to be consolidated or to open late. Looting of offices in Benghazi and Tobruq and destruction of election materials in (a government) warehouse in Ajdabiya also had significant impact on the process." And Kadlec of RAND suggested that this vote was a step forward, albeit a small one. "In theory, Libyans expressed their genuine desire for a democratic Libya by voting in elections," she said. "But after generations under a completely closed dictatorship, Libyans who had never been exiles had little to no frame of reference as to how elections would translate into an effective form of governance." • Constitutional drafting assembly election, February 2014. By the time of the next election, a year and half later, the "jubilance" had begun to fade and problems increased. The Carter Center, which observed this election as well, found it "soundly administered" but added that it "failed to achieve the desired inclusiveness to have a truly representative body." The center praised national election officials for "making the polls accessible to the vast majority of the Libyan population" but added that 13 seats of the 60-member assembly remained unelected, "including five of the six seats for Libya’s Amazigh, Touareg, and Tebu communities as well as one of the six seats reserved for women." The Carter Center also expressed concern about falling turnout rates, stemming in part from security problems. "Due to security concerns resulting from attacks on polling stations and resistance in some communities to the elections, 115 polling stations, including 34 planned for the Amazigh community, were unable to open at all, and 34 were forced to close during the day," the Carter Center found. "Polling for these centers was adjourned and rescheduled." "The low levels of participation and the general fatigue with the country’s political road map may well be an indication that Libya’s political institutions remain in danger of being hollowed out — valued more by the people for what they can deliver in patronage than as real institutions through which the country’s political future can be charted," the report concluded. • Parliamentary elections, June 2014. The problems that emerged in the February 2014 vote continued to plague the vote four months later. In addition to low turnout -- documented by empty polling places shown on television -- security problems had become a distinct problem. In Benghazi, Islamist insurgents opened fire on a local security headquarters, killing at least five and wounding at least 30, according to the BBC. In another incident in the same city, gunmen assassinated human rights activist Salwa Bughaighis as she returned home from voting. Polling places in cities such as Derna, Kufra and Sabra were closed for security reasons. In addition, the vote itself proved not to have a lasting positive impact. While the results amounted to "a devastating defeat for the Islamists" -- as Mohamed Eljarh, a nonresident fellow at the Atlantic Council’s Rafik Hariri Center, wrote at the time -- Libya’s highest court in November 2014 ruled the results unconstitutional, in a decision that critics said came "at gunpoint" from militias that controlled Tripoli. This resulted in a split government -- one in Tripoli and the other in Tobruk in eastern Libya. The elected representative body in Tobruk is now all but defunct, its mandate expired. "Libyans have had difficulty in establishing effective government due to the reasons (Clinton) describes -- internal divides, external actors, terrorism -- but it does go much, much deeper than that, and totally depends on who you ask," Kadlec said. "Some point to the NATO intervention, while others point to post-revolution neglect by western powers." Ali Abdullatif Ahmida, a University of New England political scientist who specializes in Libya, places at least part of the blame on Clinton. "She and the Obama administration dropped the ball and left the Libyan people to armed militias who lost in the election and terrorized people and prevented (the elected representatives) from working in Tripoli," Ahmida said. Our ruling Clinton said that "the Libyan people have voted twice in free and fair elections for the kind of leadership they want." Even acknowledging that Clinton mentioned some of the problems with Libya’s democratization in the rest of her comments, she is spinning the facts of recent Libyan elections in the most favorable way. Security concerns kept some polling places closed, and the most recent election was punctuated by a mass shooting by Islamist attackers and the assassination of a leading human-rights advocate. The statement is partially accurate but leaves out important details, so we rate it Half True.	None	Hillary Clinton	None	None	None	2015-11-23T11:27:51	2015-11-19	['Libya']
pomt-13909	Says British voters "under 50, especially millennials, overwhelmingly voted to stay," in the European Union. "It was older voters who voted to leave."	mostly true	/global-news/statements/2016/jun/26/tim-kaine/tim-kaine-brexit-vote-young-people-voted-stay-old-/	Since the United Kingdom’s stunning vote to leave the European Union, political observers have wondered what the ramifications will be in the United States, especially what it will mean for the 2016 election. On June 26, Meet the Press host Chuck Todd asked Sen. Tim Kaine, D-Va., for his take on Britain’s exit (Brexit). Kaine, believed to be on Hillary Clinton’s shortlist for vice president, said the United States has to maintain its ties with Europe and the United Kingdom. He also noted the generational gap among those who voted to stay in the European Union and those who voted to leave. "Young voters, those under 50, especially millennials, overwhelmingly voted to stay," Kaine said. "And it was older voters who voted to leave." The United Kingdom voted to leave the union 52 percent to 48 percent, and it seems generally understood that older generations pushed the "leave" campaign over the threshold toward a win. But how do the numbers actually stack up? Usually, journalists and others rely on exit polling to learn about demographic breakdown of votes and also to call the results of an election before all ballots have been counted. However, there were no official exit polls from the Brexit vote, in part because of the difficulty of constructing a good poll on such a rare referendum. However, we did find an unofficial exit poll of more than 12,000 people, conducted by Michael Ashcroft, a British former politician and businessman who also conducts public polls. His Brexit findings support Kaine’s claim. According to Ashcroft, who supports Brexit, a majority of voters 44 years old and younger voted to remain, while those 45 and older voted to leave. (Kaine specifically mentioned voters 50 and younger, and this is as close as Ashcroft’s poll gets to that bracket.) Kaine also said millennials were especially enthusiastic about remaining in the European Union, and he’s correct. Those between 18-24 years old voted 73 percent against Brexit, and those between 25-34 years old voted 62 percent to stay, according to Ashcroft’s poll. That’s in stark contrast to voters 65 and over who voted 60 percent in favor of leaving the European Union. Ashcroft’s polling is in line with the results of surveys conducted in advance of the vote. "Call your nan!" was a pitch in the last days of the "stay" campaign, pushing youngsters to try and flip their grandparents. The Wall Street Journal analyzed and consolidated polling from several agencies and found that among those polled, people aged 18-24 opposed Brexit 60 percent, compared to 20 percent in favor, while the rest were undecided or were not planning to vote. Among those aged 24-49, 45 percent wanted to remain, while 39 percent favored leaving. The balance flipped among older groups, with 48 percent of those aged 50-64 supporting Brexit, while 42 percent opposed. And 60 percent of those aged 65 or older supported Brexit, and just 34 percent wanted to remain in the European Union. In further support of the generational gap, the Telegraph found that areas with a higher concentration of people over the age of 65 tended to have a higher percentage of people voting in favor of Brexit compared to areas with a lower concentration of older voters. In light of this split, many young people in Britain are now expressing frustration that an older generation has made a monumental decision about the future, yet it’s the younger people who will spend many more years of their lives living with that decision. British millennials have only ever known the United Kingdom as part of a larger European community, as it joined the the European Union’s precursor more than 40 years ago, noted Cassie Werber, a Britain-based writer, in Quartz. They’re used to the freedom to work and travel throughout Europe, as well as the presence of many different cultures in their own country, particularly in a post-Soviet world. "By the time we were born, the U.K. already had become a country in which people with widely diverse heritages coexisted, for the most part in peace," Werber wrote. Our ruling Kaine said of the Brexit referendum, "Young voters, those under 50, especially millennials, overwhelmingly voted to stay. And it was older voters who voted to leave." Based on the best polling we have, all signs point to a significant generational divide on the question of whether the United Kingdom should have remained in the European Union. It’s clear as day that millennials — those about 34 or younger — favored remaining. It seems that those between 35-50 slightly favored staying, too, while older generations heavily favored Brexit. The only caveat is that we don’t have official exit polls to support Kaine’s claim. For that reason, we rate Kaine’s claim Mostly True. https://www.sharethefacts.co/share/1a7fc8df-7397-4369-b89d-6c9fa32dbe8a	None	Tim Kaine	None	None	None	2016-06-26T17:31:56	2016-06-26	['European_Union', 'United_Kingdom']
tron-00439	Catfish with child’s basketball in its mouth	truth!	https://www.truthorfiction.com/catfish-ball/	None	animals	None	None	None	Catfish with child’s basketball in its mouth	Mar 17, 2015	None	['None']
pomt-12722	Says U.S. Sen. Ron Johnson "threatens citizens with arrest if they continue asking for a town hall."	pants on fire!	/wisconsin/statements/2017/mar/07/resistance-report/article-falsely-claims-ron-johnson-threatens-citiz/	Some Facebook readers flagged as "fake news" a March 2, 2017 article that carried this headline about Wisconsin’s Ron Johnson: Republican Senator Threatens Citizens with Arrest if They Continue Asking for a Town Hall The article was published by Resistance Report, which describes itself as a "social justice-oriented media company dedicated to providing the bold, combative, thought-provoking journalism that will be critical over the next four years." So, we thought we’d see whether Johnson made such a threat. A letter The article accuses Johnson of dodging requests to hold town hall meetings, but eventually responding to the requests with a "cease-and-desist" letter. But that letter had nothing to do with town hall meetings. As we reported on the same day the Resistance Report article was published, Johnson had sent a letter to a Milwaukee man who acknowledged he had called Johnson’s office as many as 83 times in a day. The letter warned that if the man visited or called Johnson’s office (written communication was OK), staff would call U.S. Capitol Police. Citizen Action of Wisconsin had cited the letter in claiming that "people who come to" their dissent actions "get a ‘cease and desist’ letter" from Johnson's office. We rated the group’s claim False. The man was involved in some Citizen Action activities involving Johnson. But the letter was based on his personal contact with Johnson’s office, not any Citizen Action activities. (A few days later, Citizen Action posted an apology for making its claim.) Tom Cahill, an editor for Resistance Report, told us that since the man "had called his senator's office 83 times, it seems as if his goal is for Johnson to hold a public town hall so his senator can answer his questions directly." But that is complete speculation. The letter also went to a single person. It was not a general response to "citizens" who may request a town hall meeting, as the article claimed. Our rating Resistance Report says Johnson "threatens citizens with arrest if they continue asking for a town hall." A letter by Johnson’s office that was cited by the group warned a man that if he did not stop calling and visiting Johnson’s office, the Capitol Police would be called. The letter had nothing to do with town hall meetings. We rate the statement Pants on Fire. Share the Facts Politifact 6 7 Politifact Rating: Pants on Fire Says U.S. Sen. Ron Johnson "threatens citizens with arrest if they continue asking for a town hall." Resistance Report Organization In an article Thursday, March 2, 2017 03/02/2017 Read More info	None	Resistance Report	None	None	None	2017-03-07T11:47:17	2017-03-02	['United_States']
snes-04250	A young woman named Elisa Lam disappeared under mysterious circumstances in Los Angeles, her body later found in a hotel's water tank.	true	https://www.snopes.com/fact-check/death-of-elisa-lam/	None	Horrors	None	David Mikkelson	None	The Strange Death of Elisa Lam	17 November 2014	None	['Los_Angeles']
pose-00528	Will create a relocation tax credit for businesses moving to Wisconsin. "For businesses that move to Wisconsin that are not subject to the corporate income tax, my proposal provides a relocation tax credit up to 50% of moving costs. This tax credit is deferrable for up to 10 years, providing new businesses plenty of time to establish roots and grow their workforce."	promise broken	https://www.politifact.com/wisconsin/promises/walk-o-meter/promise/549/create-relocation-tax-credit-for-businesses-moving/	None	walk-o-meter	Scott Walker	None	None	Create relocation tax credit for businesses moving to Wisconsin	2010-12-20T23:16:36	None	['Wisconsin']
afck-00197	“[South Africa’s] unemployment rate is one of the highest in the world.”	correct	https://africacheck.org/reports/sa-deputy-president-correct-on-countrys-unemployment/	None	None	None	None	None	SA deputy president correct on country’s unemployment	2016-10-11 10:06	None	['None']
pomt-08764	"Obama’s stimulus, passed in his first month in office, will cost more than the entire Iraq War."	mostly false	/truth-o-meter/statements/2010/aug/25/mark-tapscott/did-stimulus-cost-more-war-iraq/	Washington Examiner editorial page editor Mark Tapscott warned readers Aug. 23, 2010, to expect to hear a lot from Democrats about the cost of the Iraq War. It might be expensive, he said, but not as expensive as President Barack Obama’s economic stimulus. Citing data from conservative writer Randall Hoven, Tapscott said, "Obama’s stimulus, passed in his first month in office, will cost more than the entire Iraq War -- more than $100 billion more." Really? Could the nearly seven-year-long war cost less than the 2009 stimulus, which was designed to keep the U.S. economy from sliding into a depression? At first glance, the numbers look pretty close. The most recent figures from the Congressional Budget Office, released in August 2010, put the total cost for the stimulus -- from February 2009 through 2019 -- at $814 billion. Estimated funding for the war in Iraq totals $709 billion from 2003 to 2010, according to the same CBO report. But note the different time periods. The stimulus costs are projected through 2019. But the war spending is calculated only to the end of this year. We also should note that the $814 billion cost for the stimulus includes $70 billion to fix a problem with the Alternative Minimum Tax, which is designed to target the wealthiest taxpayers but is gradually affecting more people in the middle class. As for the war cost, we found a variety of opinions on the total. Some reports have higher estimates than the CBO’s for that same time period. A July 2010 report from the Congressional Research Service estimated the cost at $748 billion, which includes costs for the military, the State Department and foreign aid, and Veterans Administration medical costs related to the war. Add in supplemental appropriation from 2010, and you get about $750 billion, said James R. Horney, director of federal fiscal policy at the Center for Budget and Policy Priorities, a left-leaning group that studies tax and fiscal issues. Another expert on defense spending told us it’s also important to account for inflation. "The cost of the Iraq War going back seven years and the cost of the stimulus act through 2019 cover a broad stretch of time over which inflation becomes important," Todd Harrison, a senior fellow for defense budget studies at the Center for Strategic and Budgetary Assessments, said in an e-mail. The center is a think tank that focuses on defense issues. Adjusted for inflation, the cost of the Iraq War to date totals $756 billion and the stimulus act totals about $820 billion, according to Harrison. So by that barometer, Tapscott is right that spending on the stimulus exceeds the cost of the Iraq war, although by $64 billion, rather than $100 billion. But there’s a big assumption in his logic. As Harrison put it to us, the comparison "assumes the cost of the Iraq War ends" this year. The costs are still adding up. Although the last combat troops have been withdrawn from Iraq, there are still 49,700 troops on the ground conducting security patrols and training Iraqis. And troops are expected to remain until the end of December 2011. Harrison noted that the president’s 2011 budget includes an additional $43.4 billion for Iraq, and "even if the withdrawal continues as planned, we are likely to see a request of $10 billion-$5 billion in the 2012 budget." And the number could be much higher depending how broadly you define the cost of the war. Some experts believe you should include the continuing costs of disability compensation and medical care for Iraqi war veterans -- costs that will last for decades. Linda Bilmes, senior lecturer in public policy at the Harvard Kennedy School and co-author of the Three Trillion Dollar War, argues that official government estimates of the war’s costs are too low because they do not take into account costs such as higher combat pay and recruiting costs, Social Security disability payments for veterans who can no longer work, the cost of restoring the military to its pre-war strength (replacing the bullets and bombs that have been used). She and Joseph Stiglitz, a Nobel-prize winning economist at Columbia University, argue that the "true" cost of Iraq will be several trillion dollars. Bilmes also notes that there are a higher number of disabled veterans from the war in Iraq than in previous wars. According to Bilmes, there are eight veterans wounded in combat in Iraq per fatality, compared with 2.6 wounded in combat per fatality in Vietnam. In addition, she said in an e-mail, 10 percent of Vietnam veterans enrolled in Veterans Administration health care -- whereas 44 percent of Iraq veterans have already enrolled in VA health care. Her book estimates the long-term cost of continuing medical care of Iraq and Afghanistan vets to be hundreds of billions of dollars. So let’s recap. If it were true that the war and its costs had truly ended today, then Tapscott would be right. But he says that the stimulus will cost more than the "entire" war, and we are persuaded by the experts that with nearly 50,000 troops still in Iraq, it is premature to say the war is over. And when you make reasonable adjustments for inflation, the expected costs of the troops still there and the long-term cost of medical care and re-stocking the military for all the bullets and bombs, it appears likely the war costs will exceed the stimulus. So we find his claim Barely True. Editor's note: This statement was rated Barely True when it was published. On July 27, 2011, we changed the name for the rating to Mostly False.	None	Mark Tapscott	None	None	None	2010-08-25T17:46:12	2010-08-23	['Barack_Obama', 'Iraq_War']
snes-00633	Did Melania Trump Plagiarize a Pamphlet for the ‘Be Best’ Campaign?	mostly false	https://www.snopes.com/fact-check/did-melania-trump-plagiarize-pamphlet/	None	Politics	None	Dan Evon	None	Did Melania Trump Plagiarize a Pamphlet for the ‘Be Best’ Campaign?	8 May 2018	None	['None']
pomt-10881	"I'll tell you what I can tell this country: If they want a president who doesn't believe in God, there's probably plenty of choices."	false	/truth-o-meter/statements/2007/aug/07/mike-huckabee/there-are-no-atheist-candidates/	Huckabee says there are "probably plenty" of presidential candidates who do not believe in God. But the major candidates have all professed a belief in God and in fact most of them have made their faith in God an apparent element of their campaigns. John Edwards said during a CNN candidates' forum that he has "a deep and abiding love for my Lord, Jesus Christ," while Hillary Clinton said prayer helped her weather her husband's infidelity. Barack Obama is a prominent member of Chicago's Trinity United Church of Christ. Among Republicans, Mitt Romney, a Mormon, said during the Republican debate, "I believe in God, believe in the Bible, believe Jesus Christ is my savior." John McCain's campaign created a commercial where McCain speaks into the camera about his faith in God.	None	Mike Huckabee	None	None	None	2007-08-07T00:00:00	2007-06-05	['God']
pomt-12810	"While on FAKE NEWS @CNN, Bernie Sanders was cut off for using the term fake news to describe the network. They said technical difficulties!"	false	/truth-o-meter/statements/2017/feb/12/donald-trump/donald-trump-wrongly-says-cnn-cut-bernie-sanders-c/	President Donald Trump has repeatedly labeled CNN as "fake news," but is it true that Sen. Bernie Sanders agrees with him? That was the message from Trump in an early-morning Twitter take. "While on FAKE NEWS @CNN, Bernie Sanders was cut off for using the term fake news to describe the network," Trump tweeted Feb. 12. "They said technical difficulties." See Figure 1 on PolitiFact.com Trump is referring to CNN’s Erin Burnett’s interview with Sanders, I-Vt., on Feb. 10, a few days before his tweet. Trump’s tweet, however, mischaracterized the reality of the Sanders-Burnett exchange. His tweet echoes a post on InfoWars, a website that pushes conspiracy theories. Here’s what actually happened. Sanders and Burnett were discussing the news that Trump's national security adviser Michael Flynn called the Russian ambassador to the United States before the inauguration to discuss easing sanctions imposed by President Barack Obama in retaliation for interference in the election. Vice President Mike Pence and other Trump officials had said in media interviews that Flynn did not discuss the sanctions with Sergey Kislyak. A minute into the interview, Burnett played a clip of Trump responding to reporters’ questions on his plane about Flynn’s comments. Trump said, "I don't know about that, I haven't seen it. What report is that? I haven't seen that, I'll look at that." After the clip, Burnett asked Sanders if it’s a "problem" that the president hasn’t seen the report. That’s when Sanders actually criticized Trump for his tendency to dismiss news outlets’ negative reports as fake news. Here’s the back-and-forth: Burnett: "He says he knows nothing about it, hasn't seen any of these reports. Is that a problem?" Sanders: "Well, I don't know, maybe he was watching CNN fake news, what do you think?" Burnett: "You don't buy it?" Sanders: "That was a joke." Burnett: "I know it was a joke. I'm saying, you don't buy what he said, obviously?" Sanders’ audio cut out after Burnett acknowledged the joke, so CNN cut to commercial break. "It looks like we've lost connection with Senator Sanders," Burnett said. "So let's just try to get that back up. Do we have him back? OK. So what we're going to do is take a break, I don't want to waste our time, we only have the senator for a few minutes, we're going to take a break, we're going to come back and continue our conversation with Senator Sanders." Burnett picked up the interview after the break, going on for nine more minutes to ask Sanders about the administration’s contentious travel ban, the Republican plans to replace the Affordable Care Act and Trump’s attacks on Democratic Sen. Elizabeth Warren of Massachusetts. CNN reporters including Brian Stelter and Jake Tapper also shot back at Trump’s tweet misrepresenting the exchange. See Figure 2 on PolitiFact.com See Figure 3 on PolitiFact.com Our ruling Trump tweeted, "While on FAKE NEWS @CNN, Bernie Sanders was cut off for using the term fake news to describe the network. They said technical difficulties!" Trump’s tweet distorted what happened when Sanders brought up "fake news" on CNN. Sanders was actually criticizing Trump’s repeated outcries that CNN is a fake news source. His audio did go out after this joke, but the CNN host picked up the interview after a commercial break for about nine more minutes. Trump gave the inaccurate impression that Sanders was booted for calling CNN "fake news." That’s not what happened. We rate this statement False. https://www.sharethefacts.co/share/3b173a27-53c4-4066-91b2-6991518ee78b	None	Donald Trump	None	None	None	2017-02-12T11:14:53	2017-02-12	['CNN', 'Bernie_Sanders']
